,st_grp,year,month,month_m,indexP,indexPlower,indexPupper,temp,humidity,precip,threshold_3,threshold_4,threshold_5,human,other,species,abundance,pir,pir_lci,pir_uci,vector_index,month_n,year_f,year_grp,all_cases,indexP_lag1,temp_lag1,vector_index_lag1,vector_index_lag2,eeev_detected
20,CT,2006,Jun,01/06/2006,0.297,0.144,0.55,19.697,77.649,7.096,0.579,0.113,0,,,Culiseta melanura,,,,,,6,2006,other,0,0.052,14.354,,,0
21,CT,2006,Jul,01/07/2006,0.502,0.249,0.923,23.72,75.313,2.865,1,0.992,0.56,,,Culiseta melanura,,,,,,7,2006,other,0,0.297,19.697,,,0
22,CT,2006,Aug,01/08/2006,0.309,0.153,0.545,21.513,72.185,4.29,0.496,0.052,0,,,Culiseta melanura,,,,,,8,2006,other,0,0.502,23.72,,,1
23,CT,2006,Sep,01/09/2006,0.167,0.074,0.342,16.745,76.896,2.221,0,0,0,,,Culiseta melanura,,,,,,9,2006,other,0,0.309,21.513,,,0
24,CT,2006,Oct,01/10/2006,0.007,0.003,0.012,11.115,69.931,5.488,0,0,0,,,Culiseta melanura,,,,,,10,2006,other,0,0.167,16.745,,,1
25,CT,2007,May,01/05/2007,0.066,0.023,0.131,15.776,60.231,2.519,0,0,0,,,NA,,,,,,5,2007,other,0,NA,NA,,,NA
26,CT,2007,Jun,01/06/2007,0.199,0.086,0.367,19.607,70.118,4.577,0,0,0,,,Culiseta melanura,,,,,,6,2007,other,0,0.066,15.776,,,0
27,CT,2007,Jul,01/07/2007,0.329,0.161,0.575,22.004,71.878,3.497,0.617,0.056,0,,,Culiseta melanura,,,,,,7,2007,other,0,0.199,19.607,,,0
28,CT,2007,Aug,01/08/2007,0.302,0.15,0.528,21.732,71.941,2.391,0.504,0,0,,,Culiseta melanura,,,,,,8,2007,other,0,0.329,22.004,,,1
29,CT,2007,Sep,01/09/2007,0.2,0.097,0.354,18.603,70.187,1.264,0,0,0,,,Culiseta melanura,,,,,,9,2007,other,0,0.302,21.732,,,0
30,CT,2007,Oct,01/10/2007,0.079,0.037,0.146,14.823,75.171,2.655,0,0,0,,,Culiseta melanura,,,,,,10,2007,other,0,0.2,18.603,,,1
31,CT,2008,May,01/05/2008,0.034,0.009,0.071,13.467,62.062,1.828,0,0,0,,,NA,,,,,,5,2008,other,0,NA,NA,,,NA
32,CT,2008,Jun,01/06/2008,0.264,0.125,0.469,20.805,72.108,3.249,0.442,0,0,,,Culiseta melanura,,,,,,6,2008,other,0,0.034,13.467,,,0
33,CT,2008,Jul,01/07/2008,0.409,0.209,0.704,23.39,73.136,4.28,1,0.673,0,,,Culiseta melanura,,,,,,7,2008,other,0,0.264,20.805,,,0
34,CT,2008,Aug,01/08/2008,0.299,0.148,0.528,20.342,73.366,2.978,0.367,0.04,0,,,Culiseta melanura,,,,,,8,2008,other,0,0.409,23.39,,,0
35,CT,2008,Sep,01/09/2008,0.185,0.085,0.36,18.086,77.261,7.227,0,0,0,,,Culiseta melanura,,,,,,9,2008,other,0,0.299,20.342,,,0
36,CT,2008,Oct,01/10/2008,0.007,0.003,0.015,10.453,71.768,2.095,0,0,0,,,Culiseta melanura,,,,,,10,2008,other,0,0.185,18.086,,,0
37,CT,2009,May,01/05/2009,0.046,0.021,0.085,14.767,71.575,2.809,0,0,0,,,NA,,,,,,5,2009,other,0,NA,NA,,,NA
38,CT,2009,Jun,01/06/2009,0.257,0.107,0.602,18.02,79.72,5.131,0.408,0,0,,,Culiseta melanura,,,,,,6,2009,other,0,0.046,14.767,,,0
39,CT,2009,Jul,01/07/2009,0.372,0.174,0.741,20.854,77.1,7.042,0.96,0.274,0.04,,,Culiseta melanura,,,,,,7,2009,other,0,0.257,18.02,,,0
40,CT,2009,Aug,01/08/2009,0.465,0.214,0.957,22.592,77.297,2.005,1,0.698,0.415,,,Culiseta melanura,,,,,,8,2009,other,0,0.372,20.854,,,1
41,CT,2009,Sep,01/09/2009,0.156,0.073,0.299,16.767,75.353,1.617,0.037,0,0,,,Culiseta melanura,,,,,,9,2009,other,0,0.465,22.592,,,1
42,CT,2009,Oct,01/10/2009,0.002,0.001,0.003,10.602,74.873,4.317,0,0,0,,,Culiseta melanura,,,,,,10,2009,other,1,0.156,16.767,,,1
43,CT,2010,May,01/05/2010,0.091,0.038,0.17,16.504,64.998,1.551,0,0,0,,,NA,,,,,,5,2010,other,0,NA,NA,,,NA
44,CT,2010,Jun,01/06/2010,0.284,0.135,0.501,21.148,72.176,1.749,0.304,0,0,,,Culiseta melanura,,,,,,6,2010,other,0,0.091,16.504,,,0
45,CT,2010,Jul,01/07/2010,0.435,0.214,0.752,24.552,69.642,1.851,1,0.81,0.04,,,Culiseta melanura,,,,,,7,2010,other,0,0.284,21.148,,,0
46,CT,2010,Aug,01/08/2010,0.328,0.157,0.573,22.512,71.048,1.988,0.754,0.028,0,,,Culiseta melanura,,,,,,8,2010,other,0,0.435,24.552,,,1
47,CT,2010,Sep,01/09/2010,0.187,0.085,0.336,19.506,70.976,1.605,0,0,0,,,Culiseta melanura,,,,,,9,2010,other,0,0.328,22.512,,,1
48,CT,2010,Oct,01/10/2010,0.019,0.009,0.035,12.106,70.404,2.061,0,0,0,,,Culiseta melanura,,,,,,10,2010,other,0,0.187,19.506,,,0
49,CT,2011,May,01/05/2011,0.108,0.051,0.201,15.71,74.437,3.455,0,0,0,,,Culiseta melanura,,,,,,5,2011,other,0,NA,NA,,,0
50,CT,2011,Jun,01/06/2011,0.276,0.136,0.483,19.911,72.028,4.788,0.325,0,0,,,Culiseta melanura,,,,,,6,2011,other,0,0.108,15.71,,,0
51,CT,2011,Jul,01/07/2011,0.391,0.19,0.679,24.054,69.674,1.575,1,0.44,0,,,Culiseta melanura,,,,,,7,2011,other,0,0.276,19.911,,,0
52,CT,2011,Aug,01/08/2011,0.397,0.196,0.718,22.235,74.499,8.635,1,0.444,0,,,Culiseta melanura,,,,,,8,2011,other,0,0.391,24.054,,,0
53,CT,2011,Sep,01/09/2011,0.272,0.122,0.564,19.451,79.132,5.611,0.383,0,0,,,Culiseta melanura,,,,,,9,2011,other,0,0.397,22.235,,,1
54,CT,2011,Oct,01/10/2011,0.046,0.021,0.087,12.134,71.548,3.585,0,0,0,,,Culiseta melanura,,,,,,10,2011,other,0,0.272,19.451,,,1
55,CT,2012,May,01/05/2012,0.105,0.05,0.187,16.771,73.677,2.744,0,0,0,,,NA,,,,,,5,2012,other,0,NA,NA,,,NA
56,CT,2012,Jun,01/06/2012,0.241,0.107,0.438,19.614,69.841,3.538,0.008,0,0,,,Culiseta melanura,,,,,,6,2012,other,0,0.105,16.771,,,0
57,CT,2012,Jul,01/07/2012,0.388,0.177,0.698,23.753,69.642,2.898,0.968,0.379,0.06,,,Culiseta melanura,,,,,,7,2012,other,0,0.241,19.614,,,0
58,CT,2012,Aug,01/08/2012,0.399,0.2,0.709,22.856,73.372,2.832,0.903,0.48,0.028,,,Culiseta melanura,,,,,,8,2012,other,0,0.388,23.753,,,1
59,CT,2012,Sep,01/09/2012,0.179,0.086,0.319,18.027,74.29,3.946,0,0,0,,,Culiseta melanura,,,,,,9,2012,other,0,0.399,22.856,,,1
60,CT,2012,Oct,01/10/2012,0.023,0.01,0.043,13.381,74.176,2.883,0,0,0,,,Culiseta melanura,,,,,,10,2012,other,1,0.179,18.027,,,0
61,CT,2013,May,01/05/2013,0.081,0.038,0.145,15.063,70.481,2.699,0,0,0,,,NA,,,,,,5,2013,other,0,NA,NA,,,NA
62,CT,2013,Jun,01/06/2013,0.319,0.153,0.597,20.165,74.444,7.916,0.483,0.283,0.079,,,Culiseta melanura,,,,,,6,2013,other,0,0.081,15.063,,,0
63,CT,2013,Jul,01/07/2013,0.546,0.271,1.005,24.776,75.584,2.462,1,0.903,0.613,,,Culiseta melanura,,,,,,7,2013,other,0,0.319,20.165,,,1
64,CT,2013,Aug,01/08/2013,0.313,0.155,0.547,21.016,73.891,2.412,0.681,0,0,,,Culiseta melanura,,,,,,8,2013,other,0,0.546,24.776,,,1
65,CT,2013,Sep,01/09/2013,0.164,0.078,0.294,16.922,73.215,2.145,0.029,0,0,,,Culiseta melanura,,,,,,9,2013,other,1,0.313,21.016,,,1
66,CT,2013,Oct,01/10/2013,0.019,0.008,0.035,12.298,71.538,0.9,0,0,0,,,Culiseta melanura,,,,,,10,2013,other,1,0.164,16.922,,,1
67,CT,2014,May,01/05/2014,0.059,0.023,0.114,15.251,65.847,3.39,0,0,0,,,NA,,,,,,5,2014,other,0,NA,NA,,,NA
68,CT,2014,Jun,01/06/2014,0.223,0.102,0.401,20,69.192,1.369,0.029,0,0,,,Culiseta melanura,,,,,,6,2014,other,0,0.059,15.251,,,0
69,CT,2014,Jul,01/07/2014,0.326,0.159,0.572,22.571,70.821,2.913,0.851,0,0,,,Culiseta melanura,,,,,,7,2014,other,0,0.223,20,,,0
70,CT,2014,Aug,01/08/2014,0.271,0.131,0.475,20.788,71.152,2.276,0.024,0,0,,,Culiseta melanura,,,,,,8,2014,other,0,0.326,22.571,,,0
71,CT,2014,Sep,01/09/2014,0.159,0.076,0.281,18.043,72.911,1.02,0,0,0,,,Culiseta melanura,,,,,,9,2014,other,0,0.271,20.788,,,0
72,CT,2014,Oct,01/10/2014,0.038,0.016,0.074,12.998,74.346,2.931,0,0,0,,,Culiseta melanura,,,,,,10,2014,other,0,0.159,18.043,,,0
73,CT,2015,May,01/05/2015,0.084,0.026,0.171,17.344,62.251,1.199,0,0,0,,,NA,,,,,,5,2015,other,0,NA,NA,,,NA
74,CT,2015,Jun,01/06/2015,0.229,0.109,0.404,19.087,71.378,3.637,0.104,0,0,,,Culiseta melanura,,,,,,6,2015,other,0,0.084,17.344,,,0
75,CT,2015,Jul,01/07/2015,0.332,0.157,0.588,23.052,70.459,1.427,0.806,0.016,0,,,Culiseta melanura,,,,,,7,2015,other,0,0.229,19.087,,,0
76,CT,2015,Aug,01/08/2015,0.365,0.175,0.642,23.017,70.035,1.336,0.94,0.202,0,,,Culiseta melanura,,,,,,8,2015,other,0,0.332,23.052,,,0
77,CT,2015,Sep,01/09/2015,0.224,0.106,0.397,20.265,71.206,2.905,0.171,0.013,0,,,Culiseta melanura,,,,,,9,2015,other,0,0.365,23.017,,,0
78,CT,2015,Oct,01/10/2015,0.01,0.004,0.018,11.451,67.738,1.653,0,0,0,,,Culiseta melanura,,,,,,10,2015,other,0,0.224,20.265,,,0
79,CT,2016,May,01/05/2016,0.063,0.018,0.131,15.398,65.167,2.166,0,0,0,,,Culiseta melanura,,,,,,5,2016,other,0,NA,NA,,,0
80,CT,2016,Jun,01/06/2016,0.194,0.058,0.394,20.414,62.912,1.071,0.008,0,0,,,Culiseta melanura,,,,,,6,2016,other,0,0.063,15.398,,,0
81,CT,2016,Jul,01/07/2016,0.366,0.161,0.664,24.131,68.774,2.368,0.887,0.274,0,,,Culiseta melanura,,,,,,7,2016,other,0,0.194,20.414,,,0
82,CT,2016,Aug,01/08/2016,0.415,0.201,0.724,24.167,70.495,2.515,0.984,0.633,0.012,,,Culiseta melanura,,,,,,8,2016,other,0,0.366,24.131,,,0
83,CT,2016,Sep,01/09/2016,0.231,0.108,0.415,19.748,71.532,1.417,0.167,0,0,,,Culiseta melanura,,,,,,9,2016,other,0,0.415,24.167,,,1
84,CT,2016,Oct,01/10/2016,0.024,0.01,0.047,12.49,73.363,2.47,0,0,0,,,Culiseta melanura,,,,,,10,2016,other,0,0.231,19.748,,,0
85,CT,2017,May,01/05/2017,0.048,0.021,0.089,14.439,69.78,3.857,0,0,0,,,NA,,,,,,5,2017,other,0,NA,NA,,,NA
86,CT,2017,Jun,01/06/2017,0.251,0.121,0.443,20.151,69.849,2.449,0.254,0.004,0,,,Culiseta melanura,,,,,,6,2017,other,0,0.048,14.439,,,0
87,CT,2017,Jul,01/07/2017,0.388,0.195,0.678,22.492,73.593,3.033,1,0.331,0,,,Culiseta melanura,,,,,,7,2017,other,0,0.251,20.151,,,0
88,CT,2017,Aug,01/08/2017,0.313,0.155,0.552,21.227,74.457,1.776,0.56,0.04,0,,,Culiseta melanura,,,,,,8,2017,other,0,0.388,22.492,,,0
89,CT,2017,Sep,01/09/2017,0.263,0.124,0.495,19.29,75.535,1.687,0.15,0,0,,,Culiseta melanura,,,,,,9,2017,other,0,0.313,21.227,,,0
90,CT,2017,Oct,01/10/2017,0.121,0.056,0.225,15.462,75.576,6.013,0,0,0,,,Culiseta melanura,,,,,,10,2017,other,0,0.263,19.29,,,1
91,CT,2018,May,01/05/2018,0.13,0.061,0.236,17.02,71.058,1.84,0,0,0,,,NA,,,,,,5,2018,other,0,NA,NA,,,NA
92,CT,2018,Jun,01/06/2018,0.247,0.12,0.435,19.63,71.384,2.6,0.2,0,0,,,Culiseta melanura,,,,,,6,2018,other,0,0.13,17.02,,,0
93,CT,2018,Jul,01/07/2018,0.505,0.242,0.993,23.739,75.01,3.954,1,0.778,0.431,,,Culiseta melanura,,,,,,7,2018,other,0,0.247,19.63,,,0
94,CT,2018,Aug,01/08/2018,0.646,0.271,1.599,23.987,79.753,3.87,1,1,0.952,,,Culiseta melanura,,,,,,8,2018,other,0,0.505,23.739,,,0
95,CT,2018,Sep,01/09/2018,0.45,0.161,1.384,19.387,83.301,6.441,0.958,0.683,0.304,,,Culiseta melanura,,,,,,9,2018,other,0,0.646,23.987,,,1
96,CT,2018,Oct,01/10/2018,0.037,0.014,0.104,11.76,78.721,3.278,0,0,0,,,Culiseta melanura,,,,,,10,2018,other,0,0.45,19.387,,,1
97,CT,2019,May,01/05/2019,0.051,0.02,0.098,14.608,70.173,3.549,0,0,0,,,NA,,,,,,5,2019,2019,0,NA,NA,,,NA
98,CT,2019,Jun,01/06/2019,0.244,0.117,0.429,20.031,70.248,2.716,0.258,0,0,,,Culiseta melanura,,,,,,6,2019,2019,0,0.051,14.608,,,0
99,CT,2019,Jul,01/07/2019,0.418,0.207,0.721,24.487,70.96,2.708,1,0.722,0,,,Culiseta melanura,,,,,,7,2019,2019,0,0.244,20.031,,,1
100,CT,2019,Aug,01/08/2019,0.37,0.183,0.661,22.119,73.064,2.758,0.944,0.31,0,,,Culiseta melanura,,,,,,8,2019,2019,7,0.418,24.487,,,1
101,CT,2019,Sep,01/09/2019,0.192,0.09,0.356,18.058,74.595,1.537,0.021,0,0,,,Culiseta melanura,,,,,,9,2019,2019,3,0.37,22.119,,,1
102,CT,2019,Oct,01/10/2019,0.022,0.01,0.04,12.941,76.297,5.41,0,0,0,,,Culiseta melanura,,,,,,10,2019,2019,0,0.192,18.058,,,1
103,CT,2020,May,01/05/2020,0.045,0.016,0.089,14.142,63.365,2.368,0,0,0,,,NA,,,,,,5,2020,other,0,NA,NA,,,NA
104,CT,2020,Jun,01/06/2020,0.279,0.132,0.501,20.717,69.906,2.07,0.358,0.121,0.008,,,NA,,,,,,6,2020,other,0,0.045,14.142,,,NA
105,CT,2020,Jul,01/07/2020,0.519,0.259,0.947,24.535,74.603,1.89,1,1,0.629,,,NA,,,,,,7,2020,other,0,0.279,20.717,,,NA
106,CT,2020,Aug,01/08/2020,0.402,0.203,0.698,23.131,72.374,1.385,0.98,0.488,0.06,,,NA,,,,,,8,2020,other,0,0.519,24.535,,,NA
107,CT,2020,Sep,01/09/2020,0.163,0.077,0.291,18.364,71.779,1.485,0.021,0,0,,,NA,,,,,,9,2020,other,0,0.402,23.131,,,NA
108,CT,2020,Oct,01/10/2020,0.03,0.013,0.058,12.433,77.243,3.815,0,0,0,,,NA,,,,,,10,2020,other,0,0.163,18.364,,,NA
109,MA,2003,May,01/05/2003,0.021,0.009,0.04,12.648,75.108,3.417,0,0,0,,,Culiseta melanura,,,,,,5,2003,other,0,NA,NA,,,0
110,MA,2003,Jun,01/06/2003,0.293,0.13,0.632,18.455,79.087,4.373,0.46,0.176,0.044,,,Culiseta melanura,,,,,,6,2003,other,0,0.021,12.648,,,0
111,MA,2003,Jul,01/07/2003,0.529,0.244,1.097,22.902,75.185,2.175,1,0.886,0.589,,,Culiseta melanura,,,,,,7,2003,other,0,0.293,18.455,,,0
112,MA,2003,Aug,01/08/2003,0.532,0.242,1.159,22.903,77.8,3.588,0.933,0.703,0.525,,,Culiseta melanura,,,,,,8,2003,other,0,0.529,22.902,,,1
113,MA,2003,Sep,01/09/2003,0.236,0.108,0.472,18.06,79.736,4.34,0.191,0,0,,,Culiseta melanura,,,,,,9,2003,other,3,0.532,22.903,,,1
114,MA,2003,Oct,01/10/2003,0.008,0.004,0.015,10.769,75.055,4.874,0,0,0,,,Culiseta melanura,,,,,,10,2003,other,2,0.236,18.06,,,0
115,MA,2004,May,01/05/2004,0.066,0.031,0.12,14.784,72.414,2.996,0,0,0,,,Culiseta melanura,,,,,,5,2004,other,0,NA,NA,,,0
116,MA,2004,Jun,01/06/2004,0.188,0.082,0.345,18.59,67.567,1.613,0,0,0,,,Culiseta melanura,,,,,,6,2004,other,0,0.066,14.784,,,0
117,MA,2004,Jul,01/07/2004,0.361,0.178,0.643,21.214,75.486,2.866,0.826,0.303,0,,,Culiseta melanura,,,,,,7,2004,other,1,0.188,18.59,,,1
118,MA,2004,Aug,01/08/2004,0.377,0.184,0.697,21.314,75.821,3.848,0.978,0.318,0,,,Culiseta melanura,,,,,,8,2004,other,2,0.361,21.214,,,1
119,MA,2004,Sep,01/09/2004,0.214,0.101,0.403,17.583,76.421,6.489,0.158,0,0,,,Culiseta melanura,,,,,,9,2004,other,6,0.377,21.314,,,1
120,MA,2004,Oct,01/10/2004,0.008,0.004,0.015,10.8,74.366,1.39,0,0,0,,,Culiseta melanura,,,,,,10,2004,other,4,0.214,17.583,,,1
121,MA,2005,May,01/05/2005,0.022,0.01,0.041,11.235,70.633,3.225,0,0,0,,,Culiseta melanura,,,,,,5,2005,other,0,NA,NA,,,0
122,MA,2005,Jun,01/06/2005,0.284,0.14,0.508,20.306,74.186,2.23,0.476,0.013,0,,,Culiseta melanura,,,,,,6,2005,other,0,0.022,11.235,,,0
123,MA,2005,Jul,01/07/2005,0.417,0.207,0.724,22.54,71.445,2.974,0.989,0.594,0.056,,,Culiseta melanura,,,,,,7,2005,other,0,0.284,20.306,,,1
124,MA,2005,Aug,01/08/2005,0.38,0.19,0.653,22.785,72.555,2.812,0.908,0.398,0.017,,,Culiseta melanura,,,,,,8,2005,other,6,0.417,22.54,,,1
125,MA,2005,Sep,01/09/2005,0.256,0.124,0.457,19.097,70.735,2.629,0.251,0,0,,,Culiseta melanura,,,,,,9,2005,other,3,0.38,22.785,,,1
126,MA,2005,Oct,01/10/2005,0.036,0.015,0.081,11.63,78.055,11.053,0,0,0,,,Culiseta melanura,,,,,,10,2005,other,0,0.256,19.097,,,0
127,MA,2006,May,01/05/2006,0.038,0.018,0.073,13.187,74.561,7.522,0,0,0,,,Culiseta melanura,,,,,,5,2006,other,0,NA,NA,,,0
128,MA,2006,Jun,01/06/2006,0.297,0.143,0.552,18.946,79.804,7.754,0.514,0.145,0,,,Culiseta melanura,,,,,,6,2006,other,0,0.038,13.187,,,0
129,MA,2006,Jul,01/07/2006,0.482,0.244,0.847,23.062,75.646,3.142,1,0.935,0.359,,,Culiseta melanura,,,,,,7,2006,other,1,0.297,18.946,,,1
130,MA,2006,Aug,01/08/2006,0.295,0.144,0.521,20.432,73.071,3.209,0.425,0.03,0.008,,,Culiseta melanura,,,,,,8,2006,other,4,0.482,23.062,,,1
131,MA,2006,Sep,01/09/2006,0.143,0.066,0.28,16.179,76.999,2.397,0,0,0,,,Culiseta melanura,,,,,,9,2006,other,6,0.295,20.432,,,1
132,MA,2006,Oct,01/10/2006,0.005,0.002,0.009,10.694,70.546,4.181,0,0,0,,,Culiseta melanura,,,,,,10,2006,other,1,0.143,16.179,,,1
133,MA,2007,May,01/05/2007,0.053,0.021,0.1,14.704,61.063,2.854,0,0,0,,,Culiseta melanura,,,,,,5,2007,other,0,NA,NA,,,0
134,MA,2007,Jun,01/06/2007,0.191,0.086,0.346,18.659,71.002,2.323,0,0,0,,,Culiseta melanura,,,,,,6,2007,other,0,0.053,14.704,,,0
135,MA,2007,Jul,01/07/2007,0.344,0.171,0.594,21.314,73.81,3.379,0.7,0.165,0,,,Culiseta melanura,,,,,,7,2007,other,0,0.191,18.659,,,1
136,MA,2007,Aug,01/08/2007,0.286,0.138,0.497,21.148,70.487,1.06,0.381,0.028,0,,,Culiseta melanura,,,,,,8,2007,other,0,0.344,21.314,,,1
137,MA,2007,Sep,01/09/2007,0.181,0.087,0.318,17.817,70.901,1.959,0,0,0,,,Culiseta melanura,,,,,,9,2007,other,0,0.286,21.148,,,1
138,MA,2007,Oct,01/10/2007,0.052,0.024,0.095,13.746,75.795,2.635,0,0,0,,,Culiseta melanura,,,,,,10,2007,other,0,0.181,17.817,,,1
139,MA,2008,May,01/05/2008,0.026,0.008,0.055,12.625,62.492,1.724,0,0,0,,,NA,,,,,,5,2008,other,0,NA,NA,,,NA
140,MA,2008,Jun,01/06/2008,0.258,0.123,0.458,19.732,73.538,2.935,0.361,0.02,0,,,Culiseta melanura,,,,,,6,2008,other,0,0.026,12.625,,,0
141,MA,2008,Jul,01/07/2008,0.422,0.213,0.738,22.534,75.066,5.401,1,0.748,0.023,,,Culiseta melanura,,,,,,7,2008,other,0,0.258,19.732,,,0
142,MA,2008,Aug,01/08/2008,0.307,0.148,0.565,19.651,75.327,2.845,0.41,0.131,0,,,Culiseta melanura,,,,,,8,2008,other,0,0.422,22.534,,,1
143,MA,2008,Sep,01/09/2008,0.165,0.076,0.318,17.195,78.449,6.475,0.059,0,0,,,Culiseta melanura,,,,,,9,2008,other,2,0.307,19.651,,,1
144,MA,2008,Oct,01/10/2008,0.005,0.002,0.01,10.059,71.845,1.953,0,0,0,,,Culiseta melanura,,,,,,10,2008,other,0,0.165,17.195,,,0
145,MA,2009,May,01/05/2009,0.035,0.014,0.067,14.194,70.503,2.657,0,0,0,,,NA,,,,,,5,2009,other,0,NA,NA,,,NA
146,MA,2009,Jun,01/06/2009,0.21,0.086,0.51,16.773,80.179,4.278,0.218,0.041,0,,,Culiseta melanura,,,,,,6,2009,other,0,0.035,14.194,,,0
147,MA,2009,Jul,01/07/2009,0.358,0.168,0.71,20.008,78.272,6.756,0.753,0.231,0.082,,,Culiseta melanura,,,,,,7,2009,other,0,0.21,16.773,,,1
148,MA,2009,Aug,01/08/2009,0.442,0.211,0.862,21.801,78.478,3.302,0.968,0.658,0.254,,,Culiseta melanura,,,,,,8,2009,other,0,0.358,20.008,,,1
149,MA,2009,Sep,01/09/2009,0.128,0.06,0.238,15.907,76.115,1.924,0.008,0,0,,,Culiseta melanura,,,,,,9,2009,other,1,0.442,21.801,,,1
150,MA,2009,Oct,01/10/2009,0.003,0.001,0.006,9.939,75.915,4.616,0,0,0,,,Culiseta melanura,,,,,,10,2009,other,2,0.128,15.907,,,1
151,MA,2010,May,01/05/2010,0.081,0.035,0.149,15.833,63.99,1.346,0.004,0,0,,,Culiseta melanura,,,,,,5,2010,other,0,NA,NA,,,0
152,MA,2010,Jun,01/06/2010,0.271,0.128,0.478,20.004,73.813,1.525,0.267,0,0,,,Culiseta melanura,,,,,,6,2010,other,0,0.081,15.833,,,0
153,MA,2010,Jul,01/07/2010,0.417,0.198,0.732,23.883,68.963,1.398,0.998,0.62,0.078,,,Culiseta melanura,,,,,,7,2010,other,2,0.271,20.004,,,1
154,MA,2010,Aug,01/08/2010,0.317,0.148,0.56,21.853,70.468,2.044,0.744,0,0,,,Culiseta melanura,,,,,,8,2010,other,3,0.417,23.883,,,1
155,MA,2010,Sep,01/09/2010,0.188,0.088,0.334,18.823,72.053,1.631,0.008,0,0,,,Culiseta melanura,,,,,,9,2010,other,0,0.317,21.853,,,1
156,MA,2010,Oct,01/10/2010,0.018,0.008,0.032,11.555,71.002,2.794,0,0,0,,,Culiseta melanura,,,,,,10,2010,other,0,0.188,18.823,,,0
157,MA,2011,May,01/05/2011,0.079,0.037,0.153,14.476,77.013,2.457,0,0,0,,,NA,,,,,,5,2011,other,0,NA,NA,,,NA
158,MA,2011,Jun,01/06/2011,0.259,0.128,0.456,18.511,74.373,4.397,0.247,0.024,0,,,Culiseta melanura,,,,,,6,2011,other,0,0.079,14.476,,,0
